Item ID	 UOM	 Item Name	
100P0248		"READ SWITCHES-3 WIRE P-N-P
100P0249		MTG BKT FOR F&L
100P0250		SHOCK ABSORBER
100P0251		CYL. MTG. PLATE
100P0252		PROFILE PLATE RHS
100P0253		PROFILE PLATE LHS
100P0254		BASE PLATE
100P0255		FRONT PLATE
100P0256		SLIDE MTG. PLATE
100P0257		MS ANGLE
100P0258		PT MTG. FLAT
100P0259		BODY FOR SLIDE ASSLY
100P0260		GUIDE
100P0261		RAMBOID-325.par
100P0262		GUIDE COVER
100P0263		ALLEN BOLT - M8 x 50 L
100P0264		WASHER M6
100P0265		Allen M6X12
100P0266		WASHER M10
100P0267		ALLEN M10X50
100P0268		ALLEN BOLT - M8 x 25 L
100P0269		DIESET - BOTTOM PLATE
100P0270		DIESET - PILLAR
100P0271		DIESET - SPRING GUIDE
100P0272		DIESET - STOPPER
100P0273		DIESET - FIBROFLEX
100P0274		DIESET TOP PLATE
100P0275		DIESET - BUSH
100P0276		DIESET - CAP
100P0277		DIESET - BELOW
100P0278		WASHER M10
100P0279		HEX BOLT M10X25
100P0280		INSULATING BUSH
100P0281		WASHER M8
100P0282		ALLEN M8X50
100P0283		ALLEN M8X30
100P0284		BALL CAGE DIA 31-25 X 40
100P0285		CIRCLIP - EXTERNAL
100P0286		DIESET - BACKELIT
100P0287		SENSOR DOG MNTG BKT
100P0288		WASHER M12
100P0289		SENSOR DOG MNTG
100P0290		HEX. NUT M12
100P0291		SENSOR DOG
100P0292		ALLEN GRUB SCREW M8X12
100P0293		WASHER M6
100P0294		ALLEN M5X35
100P0295		SENSOR BKT
100P0296		BASE PLATE
100P0297		CYL. MTG BRACKET
100P0298		BAKELITE-LM BLOCK
100P0299		MOVING ELECT MTG BLOCK
100P0300		BAKELITE-COUPLAR END
100P0301		COUPLER END
100P0302		INSULATING BUSH-M8
100P0303		KEY
100P0304		FIXED BOTTOM ELECT MTG
100P0305		INSULATING BUSH-M6
100P0306		SPACER
100P0307		BAKELITE-FIXED ELECTRODE
100P0308		FIXED ELECT MTG BLOCK
100P0309		STOPPER_BRACKET
100P0310		STOPPER LEAD SCREW
100P0311		SENSOR BKT
100P0312		SENSOR STRIP
100P0313		BOTTOM ELECTRODE
100P0314		BAND COND SUPPORT- LH
100P0315		Base Plate Support-RH
100P0316		CU BLOCK
100P0317		JANATICS CYL. DIA 100 X 50
100P0318		JANATICS-ROD END  M16 X  1.5
100P0319		HIWIN BLOCK-HG 30
100P0320		HIWIN RAIL
100P0321		ALLEN BOLT  M10x35
100P0322		Countersunk Screw - M6x8
100P0323		ALLEN BOLT  M8x35
100P0324		ALLEN BOLT  M8x25
100P0325		ALLEN BOLT M8x30
100P0326		ALLEN BOLT M6x35
100P0327		ALLEN BOLT M8x20
100P0328		SHAFT
100P0329		BLOCK
100P0330		TEE BLOCK
100P0331		BLOCK-1
100P0332		VER PLATE-RHS
100P0333		VER PLATE-LHS
100P0334		HOR PLATE
100P0335		TEE BLOCK MTG PLATE
100P0336		LOCK NUT
100P0337		PIVOT BRACKET
100P0338		STOPPER BLOCK
100P0339		INSULATION BUSH
100P0340		BOX NUT
100P0341		LEAD SCREW
100P0342		CYL CONNECTOR
100P0343		LOCK PIN
100P0344		SWING COVER
100P0345		BEARING CAP
100P0346		STOPPER LEAD SCREW
100P0347		LOCKING WASHER
100P0348		LOCK NUT FOR LEAD SCREW
100P0349		STOPPER LHS
100P0350		STOPPER RHS
100P0351		FK-M10x1.25 CONNECTOR ASSLY
100P0352		EXTERNAL CIRCLIP A10 3075-1965
100P0353		Connector A63 032 030 O-M
100P0354		SHOCK ABSORBER
100P0355		SILENCER 1/8
100P0356		DCV 14 DS255SR61
100P0357		FCV 1.8-8 GR5105008
100P0358		HIWIN BLOCK-HG 30
100P0359		HIWIN RAIL-HG 30
100P0360		INSULATING BUSH M6
100P0361		JANATICS CYL. DIA 32X 30 ASSLY
100P0362		REGULATOR 1-4 R13614
100P0363		REGULATOR MTG BKT-1.4
100P0364		PUSH IN FITTING1/4-8
100P0365		ELBOW 1/4-8
100P0366		Washer ISO 7089 - 6
100P0367		ALLEN BOLT M6x35
100P0368		ALLEN BOLT - M6x12
100P0369		ALLEN BOLT M6x25
100P0370		ALLEN BOLT M6x30
100P0371		ALLEN BOLT M8x20
100P0372		ALLEN BOLT M8x30
100P0373		ALLEN BOLT- M8x45
100P0374		ALLEN BOLT  M8x25
100P0375		ALLEN BOLT- M16x25
100P0376		ALLEN BOLT- M5x10
100P0377		ALLEN BOLT - M4x25


Item ID		 UOM	 Item Name	
100P0378		20-30 KVA 300-350 C FRAME HAWKINS
100P0379		CYL. MTG. PLATE
100P0380		PROFILE PLATE - RHS
100P0381		PROFILE PLATE - LHS
100P0382		FRONT PLATE
100P0383		SLIDE MTG. PLATE
100P0384		MS ANGLE
100P0385		P.T. MTG. ANGLE
100P0386		P.T. PLATE MTG. ANGLE
100P0387		P.T. MTG. PLATE
100P0388		BRIGHT FLAT
100P0389		RIB - 2
100P0390		RIB - 1
100P0391		BASE PLATE
100P0392		ANVIL 140 MM
100P0393		VERTICAL RIB
100P0394		SUPPORT PLATE
100P0395		BOTTOM BACKLITE 140 MM ANVIL
100P0396		SPACER BAKELITE
100P0397		FRONT BAKELITE-BOTTOM
100P0398		FRONT BAKELITE-TOP
100P0399		CYL DIA. 32 X 30
100P0400		CYL DIA. 100 X 50
100P0401		EYE ROD
100P0402		MOUNTING KIT MD 1032
100P0403		CONNECTOR AR 016
100P0404		CONNECTOR AR 010
100P0405		FLOW CONTROL VALVE
100P0406		DIRECTION CONTROL VALVE
100P0407		PUSH IN FITTING
100P0408		REGULATOR
100P0409		T CONNECTOR
100P0410		FLOW CONTROL VALVE
100P0411		DIRECTION CONTROL VALVE
100P0412		ELBOW
100P0413		REGULATOR
100P0414		FILTER
100P0415		PRESSURE GUAGE
100P0416		REGULATOR MTG BKT
100P0417		SILENCER
100P0418		SILENCER
100P0419		READSWITCHES FOR 100
100P0420		T 08-08-2008
100P0421		LUBRICATOR
100P0422		"READ SWITCHES-3 WIRE P-N-P
100P0423		MTG BKT FOR F&L
100P0424		SHOCK ABSORBER
100P0425		CYL. MTG. PLATE
100P0426		PROFILE PLATE RHS
100P0427		PROFILE PLATE LHS
100P0428		BASE PLATE
100P0429		FRONT PLATE
100P0430		SLIDE MTG. PLATE
100P0431		MS ANGLE
